activity_id,account_id,rep_id,activity_type,activity_date
AC0000069,A00002,rep_002,Email,2025-01-17
AC0000070,A00004,rep_011,Meeting,2025-06-27
AC0000071,A00049,rep_001,Meeting,2025-10-03
AC0000072,A00188,rep_008,Call,2024-12-18
AC0000073,A00080,rep_005,Call,2025-05-30
AC0000074,A00151,rep_010,Call,2024-02-16
AC0000075,A00077,rep_010,Email,2025-06-16
AC0000076,A00153,rep_017,Email,2025-12-04
AC0000077,A00035,rep_011,Follow-up,2025-05-16
AC0000078,A00092,rep_007,Call,2025-02-17
AC0000079,A00005,rep_008,Call,2024-05-14
AC0000080,A00055,rep_001,Email,2024-06-22
AC0000081,A00032,rep_012,Meeting,2024-02-08
AC0000082,A00097,rep_009,Meeting,2025-09-30
AC0000083,A00013,rep_020,Follow-up,2025-11-08
AC0000084,A00028,rep_001,Call,2024-04-28
AC0000085,A00107,rep_015,Email,2025-07-14
AC0000086,A00065,rep_016,Meeting,2024-07-29
AC0000087,A00178,rep_001,Email,2025-11-08
AC0000088,A00026,rep_017,Call,2025-09-12
AC0000089,A00180,rep_005,Email,2024-04-17
AC0000090,A00131,rep_020,Call,2024-04-26
AC0000091,A00028,rep_016,Call,2024-07-23
AC0000092,A00200,rep_009,Demo,2024-07-25
AC0000093,A00092,rep_014,Call,2024-02-10
AC0000094,A00141,rep_016,Follow-up,2025-12-05
AC0000095,A00124,rep_011,Call,2024-01-14
AC0000096,A00172,rep_003,Follow-up,2025-08-10
AC0000097,A00172,rep_016,Call,2024-04-02
AC0000098,A00200,rep_017,Call,2024-04-13
AC0000099,A00066,rep_008,Email,2024-10-30
AC0000100,A00068,rep_015,Call,2024-06-27
AC0000101,A00011,rep_010,Email,2025-11-24
AC0000102,A00081,rep_014,Meeting,2024-04-07
AC0000103,A00195,rep_002,Call,2024-05-21
AC0000104,A00170,rep_006,Email,2025-03-24
AC0000105,A00160,rep_009,Demo,2024-04-05
AC0000106,A00096,rep_011,Call,2025-02-14
AC0000107,A00103,rep_015,Call,2025-01-29
AC0000108,A00177,rep_016,Meeting,2025-10-26
AC0000109,A00043,rep_004,Call,2024-03-01
AC0000110,A00041,rep_004,Email,2025-08-27
AC0000111,A00124,rep_019,Meeting,2024-07-04
AC0000112,A00157,rep_013,Meeting,2025-09-18
AC0000113,A00008,rep_005,Email,2025-05-14
AC0000114,A00029,rep_014,Email,2024-03-05
AC0000115,A00067,rep_011,Call,2025-11-25
AC0000116,A00135,rep_019,Meeting,2024-08-17
AC0000117,A00172,rep_011,Email,2025-12-05
AC0000118,A00180,rep_020,Call,2025-11-08
AC0000119,A00187,rep_008,Email,2025-11-10
AC0000120,A00174,rep_013,Call,2025-07-25
AC0000121,A00157,rep_002,Call,2024-06-09
AC0000122,A00130,rep_016,Demo,2024-06-18
AC0000123,A00020,rep_016,Email,2024-12-04
AC0000124,A00072,rep_002,Email,2025-07-17
AC0000125,A00165,rep_013,Email,2024-08-28
AC0000126,A00021,rep_015,Email,2025-08-09
AC0000127,A00115,rep_003,Demo,2025-04-02
AC0000128,A00081,rep_004,Follow-up,2025-10-31
AC0000129,A00005,rep_004,Email,2024-02-06
AC0000130,A00143,rep_018,Call,2024-04-03
AC0000131,A00155,rep_020,Email,2025-06-04
AC0000132,A00144,rep_007,Meeting,2025-04-12
AC0000133,A00088,rep_012,Demo,2024-08-16
AC0000134,A00117,rep_011,Email,2025-09-26
AC0000135,A00154,rep_016,Meeting,2025-01-07
AC0000136,A00184,rep_015,Call,2025-11-05
AC0000137,A00057,rep_001,Email,2025-10-10
AC0000138,A00075,rep_018,Email,2025-12-19
AC0000139,A00028,rep_002,Demo,2025-05-19
AC0000140,A00036,rep_014,Call,2025-09-17
AC0000141,A00051,rep_007,Call,2025-02-06
AC0000142,A00056,rep_015,Demo,2024-07-14
AC0000143,A00184,rep_011,Call,2025-02-28
AC0000144,A00012,rep_019,Call,2025-04-06
AC0000145,A00118,rep_019,Follow-up,2024-05-17
AC0000146,A00128,rep_001,Email,2024-02-19
AC0000147,A00142,rep_014,Demo,2025-05-09
AC0000148,A00131,rep_006,Meeting,2024-06-26
AC0000149,A00188,rep_005,Call,2025-11-04
AC0000150,A00154,rep_020,Demo,2025-05-31
AC0000151,A00099,rep_014,Follow-up,2025-12-10
AC0000152,A00196,rep_008,Call,2024-12-17
AC0000153,A00076,rep_015,Demo,2024-05-21
AC0000154,A00106,rep_020,Meeting,2025-06-08
AC0000155,A00077,rep_018,Demo,2025-12-29
AC0000156,A00189,rep_018,Email,2024-07-24
AC0000157,A00054,rep_020,Meeting,2025-12-04
AC0000158,A00089,rep_005,Follow-up,2025-10-27
AC0000159,A00046,rep_017,Email,2025-10-14
AC0000160,A00083,rep_004,Meeting,2025-07-29
AC0000161,A00123,rep_019,Email,2025-11-14
AC0000162,A00182,rep_014,Meeting,2025-06-30
AC0000163,A00074,rep_014,Demo,2025-06-19
AC0000164,A00028,rep_001,Email,2024-02-24
AC0000165,A00172,rep_002,Call,2024-06-13
AC0000166,A00074,rep_009,Call,2024-03-04
AC0000167,A00177,rep_010,Call,2025-07-08
AC0000168,A00009,rep_012,Demo,2024-04-14
AC0000169,A00158,rep_018,Demo,2025-10-24
AC0000170,A00144,rep_013,Call,2025-12-13
AC0000171,A00074,rep_002,Follow-up,2025-01-31
AC0000172,A00107,rep_011,Follow-up,2024-02-25
AC0000173,A00004,rep_009,Call,2025-03-29
AC0000174,A00058,rep_012,Meeting,2025-07-13
AC0000175,A00190,rep_020,Call,2024-07-17
AC0000176,A00076,rep_015,Call,2025-11-30
AC0000177,A00020,rep_006,Follow-up,2025-06-10
AC0000178,A00031,rep_013,Call,2024-10-12
AC0000179,A00143,rep_009,Call,2025-08-21
AC0000180,A00066,rep_001,Email,2025-12-27
AC0000181,A00040,rep_002,Call,2024-11-26
AC0000182,A00153,rep_002,Meeting,2025-10-02
AC0000183,A00158,rep_010,Email,2025-08-09
AC0000184,A00141,rep_012,Call,2025-12-25
AC0000185,A00082,rep_017,Call,2024-07-07
AC0000186,A00134,rep_003,Meeting,2024-06-12
AC0000187,A00107,rep_018,Email,2024-04-04
AC0000188,A00090,rep_008,Demo,2025-11-10
AC0000189,A00085,rep_011,Email,2024-08-11
AC0000190,A00193,rep_020,Email,2025-07-28
AC0000191,A00193,rep_001,Call,2024-12-20
AC0000192,A00115,rep_008,Follow-up,2025-09-20
AC0000193,A00160,rep_008,Follow-up,2025-11-29
AC0000194,A00083,rep_013,Follow-up,2024-04-26
AC0000195,A00099,rep_009,Email,2024-10-16
AC0000196,A00007,rep_017,Demo,2025-01-18
AC0000197,A00132,rep_017,Email,2024-02-14
AC0000198,A00076,rep_007,Email,2024-03-25
AC0000199,A00025,rep_006,Follow-up,2025-07-04
AC0000200,A00137,rep_001,Email,2024-08-03
AC0000201,A00172,rep_007,Demo,2025-03-10
AC0000202,A00027,rep_007,Email,2025-12-20
AC0000203,A00190,rep_014,Email,2024-03-14
AC0000204,A00192,rep_005,Call,2024-12-05
AC0000205,A00010,rep_003,Call,2024-07-01
AC0000206,A00065,rep_018,Call,2024-08-21
AC0000207,A00067,rep_014,Email,2025-10-07
AC0000208,A00104,rep_014,Email,2025-02-02
AC0000209,A00173,rep_004,Email,2025-10-18
AC0000210,A00185,rep_020,Call,2025-08-22
AC0000211,A00012,rep_003,Email,2025-05-29
AC0000212,A00028,rep_010,Meeting,2024-11-04
AC0000213,A00156,rep_003,Call,2025-03-24
AC0000214,A00098,rep_013,Demo,2024-02-01
AC0000215,A00122,rep_006,Email,2024-05-19
AC0000216,A00192,rep_013,Meeting,2025-07-12
AC0000217,A00076,rep_005,Call,2025-10-25
AC0000218,A00096,rep_001,Email,2025-07-22
AC0000219,A00037,rep_004,Call,2025-08-09
AC0000220,A00153,rep_013,Email,2024-03-28
AC0000221,A00079,rep_007,Meeting,2024-12-18
AC0000222,A00055,rep_014,Follow-up,2025-06-08
AC0000223,A00037,rep_006,Call,2025-09-23
AC0000224,A00065,rep_007,Call,2025-11-18
AC0000225,A00146,rep_002,Demo,2025-07-16
AC0000226,A00119,rep_018,Call,2025-11-18
AC0000227,A00018,rep_009,Call,2025-08-17
AC0000228,A00125,rep_011,Email,2025-11-18
AC0000229,A00168,rep_008,Call,2025-09-26
AC0000230,A00018,rep_007,Email,2025-04-06
AC0000231,A00085,rep_020,Meeting,2025-12-11
AC0000232,A00150,rep_005,Email,2025-01-08
AC0000233,A00081,rep_014,Call,2024-11-16
AC0000234,A00064,rep_008,Meeting,2025-10-18
AC0000235,A00112,rep_009,Demo,2024-05-17
AC0000236,A00174,rep_011,Demo,2025-04-18
AC0000237,A00115,rep_012,Meeting,2025-05-13
AC0000238,A00142,rep_004,Call,2025-09-13
AC0000239,A00021,rep_009,Demo,2024-05-23
AC0000240,A00138,rep_007,Call,2025-10-03
AC0000241,A00020,rep_003,Demo,2025-06-03
AC0000242,A00162,rep_001,Demo,2025-08-15
AC0000243,A00104,rep_019,Call,2024-02-07
AC0000244,A00142,rep_009,Email,2025-07-06
AC0000245,A00121,rep_005,Email,2024-08-16
AC0000246,A00198,rep_019,Meeting,2024-10-24
AC0000247,A00035,rep_015,Email,2024-04-02
AC0000248,A00102,rep_012,Email,2025-11-09
AC0000249,A00062,rep_020,Meeting,2025-06-10
AC0000250,A00036,rep_015,Call,2025-08-02
AC0000251,A00145,rep_005,Meeting,2025-05-10
AC0000252,A00092,rep_002,Call,2025-05-14
AC0000253,A00060,rep_003,Call,2024-08-27
AC0000254,A00011,rep_007,Email,2025-01-04
AC0000255,A00100,rep_016,Follow-up,2024-02-17
AC0000256,A00011,rep_011,Call,2025-06-17
AC0000257,A00163,rep_009,Demo,2024-09-26
AC0000258,A00149,rep_018,Email,2025-01-20
AC0000259,A00168,rep_013,Email,2025-10-31
AC0000260,A00020,rep_017,Call,2024-08-16
AC0000261,A00133,rep_013,Email,2024-12-19
AC0000262,A00125,rep_016,Demo,2024-01-07
AC0000263,A00129,rep_005,Email,2024-08-23
AC0000264,A00020,rep_017,Email,2024-08-04
AC0000265,A00039,rep_006,Call,2025-09-08
AC0000266,A00184,rep_004,Meeting,2025-02-28
AC0000267,A00085,rep_004,Email,2025-05-05
AC0000268,A00123,rep_007,Email,2025-10-24
AC0000269,A00106,rep_001,Call,2024-05-10
AC0000270,A00147,rep_019,Call,2025-10-06
AC0000271,A00132,rep_002,Demo,2024-05-30
AC0000272,A00015,rep_006,Call,2024-07-03
AC0000273,A00133,rep_013,Email,2025-07-31
AC0000274,A00164,rep_001,Demo,2025-11-08
AC0000275,A00073,rep_003,Call,2025-09-13
AC0000276,A00121,rep_016,Call,2025-02-24
AC0000277,A00154,rep_005,Meeting,2024-07-05
AC0000278,A00160,rep_017,Call,2025-12-03
AC0000279,A00088,rep_015,Email,2024-03-11
AC0000280,A00059,rep_013,Email,2024-04-21
AC0000281,A00005,rep_007,Email,2025-05-31
AC0000282,A00176,rep_014,Demo,2025-09-12
AC0000283,A00025,rep_006,Email,2025-09-21
AC0000284,A00154,rep_002,Demo,2025-06-28
AC0000285,A00129,rep_004,Call,2025-11-06
AC0000286,A00034,rep_020,Email,2024-01-02
AC0000287,A00199,rep_014,Email,2025-01-14
AC0000288,A00012,rep_017,Email,2025-05-08
AC0000289,A00197,rep_013,Email,2025-12-14
AC0000290,A00148,rep_004,Email,2024-09-17
AC0000291,A00123,rep_008,Follow-up,2024-03-26
AC0000292,A00073,rep_020,Demo,2025-02-22
AC0000293,A00066,rep_007,Call,2024-01-08
AC0000294,A00148,rep_017,Call,2024-01-08
AC0000295,A00097,rep_007,Meeting,2024-11-19
AC0000296,A00105,rep_012,Call,2025-03-12
AC0000297,A00167,rep_019,Call,2025-07-02
AC0000298,A00109,rep_019,Email,2024-10-09
AC0000299,A00175,rep_013,Meeting,2025-02-27
AC0000300,A00142,rep_018,Email,2025-01-14
AC0000301,A00144,rep_018,Email,2024-11-10
AC0000302,A00148,rep_012,Meeting,2025-02-11
AC0000303,A00189,rep_005,Demo,2025-11-06
AC0000304,A00031,rep_008,Email,2025-12-17
AC0000305,A00042,rep_004,Call,2025-02-14
AC0000306,A00087,rep_018,Email,2025-12-01
AC0000307,A00181,rep_002,Call,2025-10-13
AC0000308,A00002,rep_003,Demo,2025-04-27
AC0000309,A00154,rep_014,Call,2024-09-26
AC0000310,A00057,rep_012,Call,2024-02-08
AC0000311,A00186,rep_013,Follow-up,2025-02-14
AC0000312,A00158,rep_017,Call,2025-09-03
AC0000313,A00015,rep_006,Email,2025-03-25
AC0000314,A00003,rep_007,Demo,2025-06-14
AC0000315,A00074,rep_007,Call,2025-09-05
AC0000316,A00131,rep_017,Meeting,2025-09-21
AC0000317,A00044,rep_002,Email,2025-11-01
AC0000318,A00001,rep_006,Call,2024-10-09
AC0000319,A00200,rep_013,Email,2025-02-08
AC0000320,A00104,rep_019,Call,2024-01-16
AC0000321,A00189,rep_003,Follow-up,2025-07-16
AC0000322,A00073,rep_018,Follow-up,2024-12-22
AC0000323,A00089,rep_009,Call,2024-07-18
AC0000324,A00117,rep_013,Email,2024-09-24
AC0000325,A00045,rep_014,Email,2025-07-26
AC0000326,A00019,rep_017,Call,2024-04-29
AC0000327,A00132,rep_009,Demo,2025-08-11
AC0000328,A00065,rep_015,Follow-up,2025-07-30
AC0000329,A00124,rep_008,Meeting,2025-04-14
AC0000330,A00175,rep_015,Demo,2024-01-29
AC0000331,A00124,rep_004,Call,2025-01-26
AC0000332,A00163,rep_008,Meeting,2024-08-23
AC0000333,A00081,rep_014,Follow-up,2025-06-12
AC0000334,A00138,rep_001,Meeting,2024-09-26
AC0000335,A00064,rep_010,Call,2025-11-20
AC0000336,A00192,rep_011,Call,2024-07-01
AC0000337,A00122,rep_011,Email,2025-08-10
AC0000338,A00069,rep_006,Follow-up,2025-11-30
AC0000339,A00049,rep_016,Meeting,2024-08-28
AC0000340,A00189,rep_008,Demo,2024-07-30
AC0000341,A00059,rep_007,Demo,2025-09-25
AC0000342,A00092,rep_005,Meeting,2024-05-02
AC0000343,A00021,rep_016,Email,2025-07-08
AC0000344,A00011,rep_016,Email,2024-11-18
AC0000345,A00127,rep_019,Demo,2025-05-17
AC0000346,A00047,rep_017,Call,2024-08-15
AC0000347,A00193,rep_019,Call,2025-06-22
AC0000348,A00109,rep_016,Follow-up,2024-02-03
AC0000349,A00129,rep_012,Email,2025-12-03
AC0000350,A00199,rep_006,Email,2024-05-03
AC0000351,A00179,rep_017,Email,2025-12-06
AC0000352,A00003,rep_001,Meeting,2025-01-23
AC0000353,A00149,rep_004,Email,2025-09-19
AC0000354,A00067,rep_006,Email,2024-08-30
AC0000355,A00069,rep_016,Follow-up,2024-12-17
AC0000356,A00094,rep_006,Email,2024-08-03
AC0000357,A00108,rep_012,Email,2025-02-14
AC0000358,A00072,rep_015,Call,2024-05-14
AC0000359,A00148,rep_008,Demo,2024-10-03
AC0000360,A00061,rep_018,Email,2025-01-25
AC0000361,A00051,rep_005,Demo,2024-06-02
AC0000362,A00122,rep_001,Call,2025-05-26
AC0000363,A00035,rep_017,Email,2024-11-19
AC0000364,A00125,rep_010,Call,2025-08-04
AC0000365,A00013,rep_013,Call,2024-06-16
AC0000366,A00016,rep_007,Demo,2025-05-02
AC0000367,A00162,rep_004,Email,2024-12-08
AC0000368,A00067,rep_012,Email,2025-07-24
AC0000369,A00066,rep_012,Call,2024-05-04
AC0000370,A00090,rep_020,Call,2025-08-12
AC0000371,A00167,rep_018,Call,2024-10-18
AC0000372,A00091,rep_011,Meeting,2025-05-14
AC0000373,A00199,rep_015,Demo,2025-01-25
AC0000374,A00158,rep_010,Email,2024-05-28
AC0000375,A00043,rep_011,Email,2025-09-19
AC0000376,A00147,rep_013,Demo,2024-03-14
AC0000377,A00021,rep_006,Email,2024-11-17
AC0000378,A00082,rep_010,Meeting,2025-09-11
AC0000379,A00166,rep_013,Call,2025-03-31
AC0000380,A00200,rep_012,Meeting,2025-06-17
AC0000381,A00116,rep_014,Call,2024-01-24
AC0000382,A00033,rep_008,Meeting,2025-12-18
AC0000383,A00192,rep_003,Call,2025-02-10
AC0000384,A00027,rep_004,Call,2025-04-29
AC0000385,A00141,rep_002,Call,2025-02-10
AC0000386,A00135,rep_003,Call,2025-09-24
AC0000387,A00040,rep_003,Meeting,2025-02-03
AC0000388,A00080,rep_008,Call,2024-10-17
AC0000389,A00114,rep_005,Call,2024-06-23
AC0000390,A00008,rep_002,Meeting,2024-11-29
AC0000391,A00122,rep_015,Follow-up,2025-07-07
AC0000392,A00070,rep_018,Email,2025-12-15
AC0000393,A00139,rep_006,Email,2025-04-12
AC0000394,A00162,rep_019,Email,2025-10-17
AC0000395,A00164,rep_018,Email,2024-12-21
AC0000396,A00124,rep_018,Call,2024-04-01
AC0000397,A00114,rep_010,Email,2024-09-23
AC0000398,A00040,rep_010,Call,2025-06-19
AC0000399,A00195,rep_005,Email,2025-04-25
AC0000400,A00137,rep_001,Meeting,2025-05-18
AC0000401,A00194,rep_016,Call,2025-03-16
AC0000402,A00075,rep_020,Call,2024-01-08
AC0000403,A00141,rep_012,Call,2025-07-28
AC0000404,A00112,rep_013,Call,2025-10-23
AC0000405,A00100,rep_013,Call,2024-03-22
AC0000406,A00109,rep_008,Email,2025-09-19
AC0000407,A00178,rep_009,Call,2025-06-28
AC0000408,A00069,rep_014,Call,2024-03-11
AC0000409,A00047,rep_005,Call,2025-10-14
AC0000410,A00117,rep_020,Email,2025-12-18
AC0000411,A00160,rep_016,Call,2024-01-20
AC0000412,A00039,rep_002,Follow-up,2024-01-23
AC0000413,A00048,rep_004,Call,2024-05-08
AC0000414,A00184,rep_015,Meeting,2024-08-26
AC0000415,A00024,rep_005,Call,2024-08-10
AC0000416,A00088,rep_014,Email,2025-05-25
AC0000417,A00096,rep_015,Meeting,2024-02-02
AC0000418,A00085,rep_003,Demo,2024-05-29
AC0000419,A00015,rep_009,Meeting,2024-03-14
AC0000420,A00140,rep_016,Call,2024-09-13
AC0000421,A00098,rep_001,Call,2024-09-11
AC0000422,A00099,rep_015,Call,2024-02-04
AC0000423,A00051,rep_015,Meeting,2024-04-06
AC0000424,A00134,rep_007,Email,2025-11-28
AC0000425,A00080,rep_011,Call,2024-02-13
AC0000426,A00191,rep_018,Email,2024-09-16
AC0000427,A00124,rep_010,Call,2024-02-23
AC0000428,A00171,rep_007,Follow-up,2024-08-29
AC0000429,A00163,rep_014,Email,2024-06-20
AC0000430,A00071,rep_019,Call,2024-09-05
AC0000431,A00003,rep_002,Email,2025-12-08
AC0000432,A00122,rep_020,Call,2024-04-01
AC0000433,A00064,rep_006,Email,2025-12-03
AC0000434,A00159,rep_011,Follow-up,2025-10-02
AC0000435,A00016,rep_002,Email,2024-06-06
AC0000436,A00180,rep_018,Meeting,2024-05-08
AC0000437,A00125,rep_008,Email,2025-07-25
AC0000438,A00166,rep_012,Demo,2025-03-25
AC0000439,A00188,rep_007,Call,2025-01-21
AC0000440,A00092,rep_005,Call,2024-02-10
AC0000441,A00125,rep_015,Email,2025-07-09
AC0000442,A00179,rep_016,Call,2024-07-10
AC0000443,A00140,rep_012,Email,2025-04-24
AC0000444,A00071,rep_020,Follow-up,2025-07-21
AC0000445,A00042,rep_003,Email,2025-04-05
AC0000446,A00076,rep_009,Email,2025-04-09
AC0000447,A00001,rep_017,Email,2024-07-08
AC0000448,A00005,rep_020,Demo,2025-09-27
AC0000449,A00062,rep_011,Meeting,2025-11-05
AC0000450,A00138,rep_013,Call,2025-11-30
AC0000451,A00128,rep_018,Call,2024-10-16
AC0000452,A00083,rep_014,Email,2024-04-23
AC0000453,A00025,rep_017,Meeting,2024-02-14
AC0000454,A00034,rep_006,Demo,2024-07-25
AC0000455,A00028,rep_016,Call,2024-02-02
AC0000456,A00147,rep_013,Meeting,2025-06-22
AC0000457,A00160,rep_019,Call,2025-01-10
AC0000458,A00057,rep_020,Meeting,2024-01-14
AC0000459,A00054,rep_016,Follow-up,2024-03-22
AC0000460,A00120,rep_002,Email,2025-03-01
AC0000461,A00095,rep_002,Demo,2024-09-29
AC0000462,A00136,rep_002,Meeting,2024-11-07
AC0000463,A00020,rep_007,Follow-up,2024-04-09
AC0000464,A00026,rep_008,Email,2024-07-13
AC0000465,A00050,rep_017,Meeting,2025-08-06
AC0000466,A00161,rep_006,Email,2025-07-25
AC0000467,A00107,rep_004,Meeting,2025-08-13
AC0000468,A00092,rep_015,Meeting,2025-03-13
AC0000469,A00027,rep_006,Meeting,2025-07-17
AC0000470,A00103,rep_017,Email,2024-06-10
AC0000471,A00137,rep_020,Email,2024-12-26
AC0000472,A00081,rep_018,Follow-up,2024-11-28
AC0000473,A00096,rep_014,Meeting,2025-03-16
AC0000474,A00186,rep_011,Email,2025-07-30
AC0000475,A00140,rep_007,Email,2025-07-17
AC0000476,A00191,rep_009,Email,2025-04-08
AC0000477,A00115,rep_013,Call,2024-02-05
AC0000478,A00073,rep_020,Call,2024-05-18
AC0000479,A00078,rep_001,Email,2024-08-15
AC0000480,A00055,rep_011,Call,2025-12-07
AC0000481,A00071,rep_018,Email,2025-08-07
AC0000482,A00147,rep_005,Call,2025-04-16
AC0000483,A00092,rep_005,Call,2025-01-10
AC0000484,A00150,rep_008,Call,2024-11-03
AC0000485,A00024,rep_019,Email,2024-08-10
AC0000486,A00188,rep_003,Meeting,2025-05-09
AC0000487,A00045,rep_016,Demo,2025-12-07
AC0000488,A00180,rep_019,Demo,2024-04-07
AC0000489,A00153,rep_010,Call,2025-08-13
AC0000490,A00098,rep_003,Meeting,2024-12-08
AC0000491,A00090,rep_014,Email,2024-05-03
AC0000492,A00198,rep_008,Meeting,2025-09-08
AC0000493,A00003,rep_013,Call,2025-06-20
AC0000494,A00011,rep_011,Email,2024-06-02
AC0000495,A00084,rep_017,Meeting,2024-06-05
AC0000496,A00013,rep_013,Follow-up,2025-09-01
AC0000497,A00148,rep_017,Call,2025-03-18
AC0000498,A00075,rep_013,Call,2024-12-10
AC0000499,A00022,rep_016,Email,2024-02-20
AC0000500,A00141,rep_013,Call,2025-02-12
AC0000501,A00129,rep_014,Meeting,2024-05-13
AC0000502,A00196,rep_005,Email,2024-07-21
AC0000503,A00125,rep_013,Meeting,2024-07-19
AC0000504,A00144,rep_020,Follow-up,2025-06-20
AC0000505,A00064,rep_008,Call,2025-03-16
AC0000506,A00083,rep_019,Call,2025-11-18
AC0000507,A00106,rep_014,Email,2024-07-14
AC0000508,A00083,rep_012,Email,2024-01-25
AC0000509,A00198,rep_010,Call,2024-12-24
AC0000510,A00158,rep_015,Email,2025-03-27
AC0000511,A00012,rep_008,Call,2025-01-17
AC0000512,A00040,rep_003,Call,2024-02-25
AC0000513,A00063,rep_020,Follow-up,2024-10-21
AC0000514,A00004,rep_011,Meeting,2024-04-23
AC0000515,A00079,rep_015,Email,2024-12-05
AC0000516,A00054,rep_018,Call,2025-07-13
AC0000517,A00134,rep_009,Email,2025-09-29
AC0000518,A00187,rep_005,Meeting,2025-11-15
AC0000519,A00005,rep_013,Email,2025-11-10
AC0000520,A00135,rep_002,Call,2024-03-02
AC0000521,A00073,rep_007,Meeting,2025-09-24
AC0000522,A00070,rep_002,Email,2024-01-09
AC0000523,A00018,rep_013,Meeting,2025-11-09
AC0000524,A00169,rep_012,Demo,2024-01-20
AC0000525,A00075,rep_013,Call,2025-01-24
AC0000526,A00131,rep_004,Follow-up,2025-05-11
AC0000527,A00153,rep_018,Call,2024-07-22
AC0000528,A00129,rep_015,Email,2025-12-30
AC0000529,A00006,rep_002,Call,2025-06-26
AC0000530,A00079,rep_011,Email,2024-06-09
AC0000531,A00005,rep_012,Meeting,2024-12-29
AC0000532,A00161,rep_010,Call,2025-05-28
AC0000533,A00071,rep_002,Email,2025-01-31
AC0000534,A00008,rep_018,Follow-up,2024-08-18
AC0000535,A00039,rep_011,Demo,2025-11-03
AC0000536,A00036,rep_003,Meeting,2025-06-17
AC0000537,A00174,rep_020,Demo,2025-12-03
AC0000538,A00059,rep_014,Call,2024-06-05
AC0000539,A00110,rep_010,Follow-up,2024-12-03
AC0000540,A00115,rep_018,Call,2025-10-30
AC0000541,A00036,rep_019,Email,2024-07-26
AC0000542,A00036,rep_010,Meeting,2025-06-20
